name,year,cpi,unemploy,gdp,oilprice,cementprice
United States,1991,4.23496396453853,6.8,6158129000000,21.5413671875,131.525
United States,1992,3.0288196781497,7.5,6520327000000,20.57556420233463,133.4
United States,1993,2.95165696638554,6.9,6858559000000,18.432199999999998,136.04999999999998
United States,1994,2.6074415921546,6.12,7287236000000,17.196428571428573,138.98333333333335
United States,1995,2.80541968853655,5.65,7639749000000,18.428804780876494,140.94166666666666
United States,1996,2.9312041999344,5.45,8073122000000,22.119173228346455,141.4
United States,1997,2.33768993730741,5,8577554457000,20.60825396825397,141.44166666666666
United States,1998,1.55227909874362,4.51,9062818202000,14.42207171314741,141.93333333333334
United States,1999,2.18802719697358,4.22,9631174489000,19.34498007968127,143.35
United States,2000,3.37685727149935,3.99,10250947997000,30.37852,144.45833333333334
United States,2001,2.82617111885402,4.73,10581929774000,25.98312,147.91666666666669
United States,2002,1.58603162650603,5.78,10929112955000,26.18496,150.075
United States,2003,2.27009497336113,5.99,11456442041000,31.07524,153.85
United States,2004,2.67723669309173,5.53,12217193198000,41.506024096385545,155.3
United States,2005,3.39274684549547,5.08,13039199193000,56.637250996015936,162.14166666666665
United States,2006,3.22594410070407,4.62,13815586948000,66.05465863453816,169.15
United States,2007,2.85267248150136,4.62,14474226905000,72.34059523809523,184.95833333333334
United States,2008,3.83910029665101,5.78,14769857911000,99.67150197628457,191.20833333333334
United States,2009,-0.35554626629975,9.25,14478064934000,61.95043650793651,197.03333333333333
United States,2010,1.64004344238989,9.63,15048964444000,79.47571428571429,196.125
United States,2011,3.15684156862206,8.95,15599728123000,94.88087301587302,198.00833333333333
United States,2012,2.06933726526059,8.07,16253972230000,94.05333333333333,200.24166666666667
United States,2013,1.46483265562714,7.37,16843190993000,97.98253968253968,202.36666666666667
United States,2014,1.62222297740821,6.17,17550680174000,93.17222222222222,207.00833333333333
United States,2015,0.118627135552435,5.28,18206020741000,48.656706349206345,208.35
United States,2016,1.26158320570537,4.87,18695110842000,43.29365079365079,215.49166666666667
United States,2017,2.13011000365963,4.36,19477336549000,50.80032,228.95833333333331
United States,2018,2.44258329692818,3.9,20533057312000,65.22746987951807,244.29166666666666
United States,2019,1.81221007526015,3.67,21380976119000,56.98832,252.675
United States,2020,1.23358439630637,8.05,21060473613000,39.16043650793651,260.3333333333333
United States,2021,4.69785886363739,5.35,23315080560000,68.13509960159362,270.0428333333333
United States,2022,8.00279982052117,3.611,25462700000000,94.90286852589641,306.5138333333333
